Task_Title,Category,Priority,Actual_Duration
Купить продукты на неделю,Personal,Low,1.233457622085666
Изучить основы Python,Education,Medium,1.8358921539137274
Купить продукты на неделю,Personal,Low,0.6648687210883577
Встреча с клиентом,Work,High,1.5927781280721163
Подготовить отчет по проекту,Work,High,3.1292846269468417
Убраться в комнате,Personal,Low,1.8622057490325417
Написать код для бэкенда,Work,High,4.873005553129959
Сходить в спортзал,Health,Low,1.0384793163899741
Прочитать книгу по ИИ,Education,Medium,2.8417773283012258
Изучить основы Python,Education,Medium,1.5113249012401488
Подготовить отчет по проекту,Work,High,3.0243552058121255
Убраться в комнате,Personal,Low,1.779262685081351
Написать код для бэкенда,Work,High,5.149325831496206
Убраться в комнате,Personal,Low,2.121709455355135
Убраться в комнате,Personal,Low,1.9014160715902269
Купить продукты на неделю,Personal,Low,0.764451149695055
Прочитать книгу по ИИ,Education,Medium,2.2653572408789793
Сходить в спортзал,Health,Low,1.0552680100855143
Подготовить отчет по проекту,Work,High,3.3583907181471435
Написать код для бэкенда,Work,High,5.20387889365439
Сходить в спортзал,Health,Low,1.156677715486489
Убраться в комнате,Personal,Low,2.344478370936906
Подготовка к экзамену,Education,High,4.495972915869608
Встреча с клиентом,Work,High,1.0037722894484793
Подготовить отчет по проекту,Work,High,3.384794484676255
Написать код для бэкенда,Work,High,4.844935050383765
Купить продукты на неделю,Personal,Low,0.5977755544044334
Встреча с клиентом,Work,High,1.687745341080983
Записаться к врачу,Health,Medium,0.4497066527665855
Подготовить отчет по проекту,Work,High,3.384631028823442
Подготовить отчет по проекту,Work,High,3.2666385273245364
Встреча с клиентом,Work,High,1.3207378373372647
Купить продукты на неделю,Personal,Low,1.497731466949325
Сходить в спортзал,Health,Low,1.9304486335951636
Убраться в комнате,Personal,Low,2.0760556309776232
Убраться в комнате,Personal,Low,1.587104339577028
Подготовить отчет по проекту,Work,High,3.7647428192250803
Написать код для бэкенда,Work,High,5.026262166031412
Прочитать книгу по ИИ,Education,Medium,2.754603565713132
Изучить основы Python,Education,Medium,2.393218315896653
Встреча с клиентом,Work,High,1.0086873157689364
Написать код для бэкенда,Work,High,4.558057352194848
Убраться в комнате,Personal,Low,2.0108546522201975
Подготовить отчет по проекту,Work,High,3.9399038984366617
Записаться к врачу,Health,Medium,0.45935908541518544
Подготовить отчет по проекту,Work,High,3.762284578393885
Подготовить отчет по проекту,Work,High,3.5783481947413436
Подготовить отчет по проекту,Work,High,3.6730745470722366
Купить продукты на неделю,Personal,Low,1.049483026696468
Сходить в спортзал,Health,Low,1.5315118932671514
Изучить основы Python,Education,Medium,1.739034426013618
Купить продукты на неделю,Personal,Low,0.9348711672592096
Прочитать книгу по ИИ,Education,Medium,2.891540991352641
Сходить в спортзал,Health,Low,1.6403126806359807
Написать код для бэкенда,Work,High,4.5117813133699105
Купить продукты на неделю,Personal,Low,0.9761242035973203
Записаться к врачу,Health,Medium,0.43860019619575896
Купить продукты на неделю,Personal,Low,1.253737642712855
Убраться в комнате,Personal,Low,2.1858149958621973
Подготовить отчет по проекту,Work,High,3.8455157890845997
Сходить в спортзал,Health,Low,1.6457927328903519
Подготовить отчет по проекту,Work,High,3.3369412806599548
Сходить в спортзал,Health,Low,1.5059328056046501
Сходить в спортзал,Health,Low,1.0826008554029491
Написать код для бэкенда,Work,High,4.975959338376551
Купить продукты на неделю,Personal,Low,1.1134381701221292
Сходить в спортзал,Health,Low,1.0282633712487474
Убраться в комнате,Personal,Low,2.369189397623935
Написать код для бэкенда,Work,High,4.561573974246366
Купить продукты на неделю,Personal,Low,0.7183554833603807
Записаться к врачу,Health,Medium,0.5315192431837354
Подготовка к экзамену,Education,High,4.420793189047672
Убраться в комнате,Personal,Low,1.9319897002139885
Сходить в спортзал,Health,Low,1.3258655355928375
Подготовка к экзамену,Education,High,3.7543501033025937
Сходить в спортзал,Health,Low,1.796490546390503
Купить продукты на неделю,Personal,Low,0.6003423282885393
Сходить в спортзал,Health,Low,1.3970563717075155
Изучить основы Python,Education,Medium,1.7586153062400987
Прочитать книгу по ИИ,Education,Medium,2.2273181113852285
Купить продукты на неделю,Personal,Low,1.3041808676495892
Написать код для бэкенда,Work,High,5.274832098186864
Купить продукты на неделю,Personal,Low,0.977491180103096
Написать код для бэкенда,Work,High,4.612517100996865
Изучить основы Python,Education,Medium,1.9856786254716394
Встреча с клиентом,Work,High,1.999584347990596
Записаться к врачу,Health,Medium,0.9061588729475228
Убраться в комнате,Personal,Low,2.032808643068233
Написать код для бэкенда,Work,High,4.662158942657412
Встреча с клиентом,Work,High,1.9166894906157177
Убраться в комнате,Personal,Low,1.9785990603829966
Подготовка к экзамену,Education,High,3.5485591651479296
Записаться к врачу,Health,Medium,0.8037158503280766
Изучить основы Python,Education,Medium,1.5529263333916314
Убраться в комнате,Personal,Low,1.6306428456288826
Купить продукты на неделю,Personal,Low,0.8130447499883191
Записаться к врачу,Health,Medium,0.14177627535067228
Убраться в комнате,Personal,Low,2.206674218378517
Записаться к врачу,Health,Medium,0.12151635965262675
Сходить в спортзал,Health,Low,1.7270288895310117
Подготовка к экзамену,Education,High,4.144496094603578
Купить продукты на неделю,Personal,Low,0.7512958797870254
Встреча с клиентом,Work,High,1.5583040556327283
Встреча с клиентом,Work,High,1.3187457418447086
Встреча с клиентом,Work,High,1.5623056653355578
Написать код для бэкенда,Work,High,4.972279760306239
Написать код для бэкенда,Work,High,5.001820770426143
Подготовка к экзамену,Education,High,4.125390062864667
Изучить основы Python,Education,Medium,2.2430437101917877
Подготовка к экзамену,Education,High,4.230221839409899
Купить продукты на неделю,Personal,Low,1.4857142507984409
Подготовка к экзамену,Education,High,3.6821600112937465
Подготовить отчет по проекту,Work,High,3.9126780667776684
Прочитать книгу по ИИ,Education,Medium,2.00137812055992
Встреча с клиентом,Work,High,1.5925153732684936
Сходить в спортзал,Health,Low,1.7122563435558407
Встреча с клиентом,Work,High,1.7961438214712233
Написать код для бэкенда,Work,High,5.063639869860009
Убраться в комнате,Personal,Low,2.2155803124162654
Подготовить отчет по проекту,Work,High,3.975599746724934
Купить продукты на неделю,Personal,Low,0.7483820430919131
Изучить основы Python,Education,Medium,2.2857894101292366
Убраться в комнате,Personal,Low,2.0619551499142488
Купить продукты на неделю,Personal,Low,0.9287119372001185
Подготовить отчет по проекту,Work,High,3.542865672788898
Сходить в спортзал,Health,Low,1.043999443289568
Убраться в комнате,Personal,Low,2.0082938134656367
Убраться в комнате,Personal,Low,1.7024862773996208
Купить продукты на неделю,Personal,Low,1.003579303477216
Изучить основы Python,Education,Medium,1.7366999909453993
Купить продукты на неделю,Personal,Low,1.050021303606302
Прочитать книгу по ИИ,Education,Medium,2.5291073880409343
Встреча с клиентом,Work,High,1.7833721725894836
Подготовка к экзамену,Education,High,3.517660515443367
Подготовить отчет по проекту,Work,High,3.310899784442435
Подготовить отчет по проекту,Work,High,3.5469691228450158
Убраться в комнате,Personal,Low,2.2340306874782447
Прочитать книгу по ИИ,Education,Medium,2.076680759384696
Убраться в комнате,Personal,Low,2.011506978448879
Убраться в комнате,Personal,Low,2.244720322745111
Встреча с клиентом,Work,High,1.4590243168627117
Прочитать книгу по ИИ,Education,Medium,2.8966100562194166
Записаться к врачу,Health,Medium,0.8078464541451027
Встреча с клиентом,Work,High,1.433881733183048
Подготовка к экзамену,Education,High,4.074179778281902
Встреча с клиентом,Work,High,1.2704000742533137
Записаться к врачу,Health,Medium,0.3810629641349196
Подготовка к экзамену,Education,High,4.445588772102732
Сходить в спортзал,Health,Low,1.5833605658392849
Купить продукты на неделю,Personal,Low,0.6175955473821358
Сходить в спортзал,Health,Low,1.6033342449549282
Прочитать книгу по ИИ,Education,Medium,2.375881281898099
Сходить в спортзал,Health,Low,1.6402529003176864
Встреча с клиентом,Work,High,1.2320657881083439
Подготовить отчет по проекту,Work,High,3.3104935379927607
Встреча с клиентом,Work,High,1.9450600212118219
Написать код для бэкенда,Work,High,4.737774186405307
Записаться к врачу,Health,Medium,0.8423430228531786
Изучить основы Python,Education,Medium,1.512787602472101
Прочитать книгу по ИИ,Education,Medium,2.8919119307191474
Прочитать книгу по ИИ,Education,Medium,2.6654124302861244
Убраться в комнате,Personal,Low,1.7363983646301664
Записаться к врачу,Health,Medium,0.5473529456660606
Прочитать книгу по ИИ,Education,Medium,2.3183524150441914
Подготовка к экзамену,Education,High,4.459468927120428
Записаться к врачу,Health,Medium,0.3607152032718661
Сходить в спортзал,Health,Low,1.84301794080779
Убраться в комнате,Personal,Low,2.477500625322617
Подготовить отчет по проекту,Work,High,3.4382372175546205
Записаться к врачу,Health,Medium,0.1032741083173101
Встреча с клиентом,Work,High,1.442233179413737
Записаться к врачу,Health,Medium,0.6167899455569752
Встреча с клиентом,Work,High,1.8456399221678153
Сходить в спортзал,Health,Low,1.3209944942624487
Написать код для бэкенда,Work,High,4.591677498233333
Убраться в комнате,Personal,Low,1.6198538363480388
Подготовить отчет по проекту,Work,High,3.016183862767756
Сходить в спортзал,Health,Low,1.831516990425319
Записаться к врачу,Health,Medium,0.22284962027776012
Изучить основы Python,Education,Medium,2.3808144235515614
Написать код для бэкенда,Work,High,4.803438323655656
Изучить основы Python,Education,Medium,2.17104638156301
Записаться к врачу,Health,Medium,0.347213821596155
Написать код для бэкенда,Work,High,4.829337754660484
Встреча с клиентом,Work,High,1.015447507842068
Подготовка к экзамену,Education,High,4.060060071243863
Сходить в спортзал,Health,Low,1.7312900778532243
Встреча с клиентом,Work,High,1.47473646601959
Прочитать книгу по ИИ,Education,Medium,2.9735736502580083
Написать код для бэкенда,Work,High,4.904394652329026
Убраться в комнате,Personal,Low,1.5623302836815238
Сходить в спортзал,Health,Low,1.5280274837162797
Убраться в комнате,Personal,Low,1.5167276407085857
Встреча с клиентом,Work,High,1.2663707000323248
Встреча с клиентом,Work,High,1.8308190475228745
Изучить основы Python,Education,Medium,2.1377241592180445
Купить продукты на неделю,Personal,Low,1.2360135340459881
Подготовка к экзамену,Education,High,3.9804304516211966
Записаться к врачу,Health,Medium,0.7693229754158379
Подготовить отчет по проекту,Work,High,3.3221672008777547
Написать код для бэкенда,Work,High,4.659812885225422
Сходить в спортзал,Health,Low,1.189974223723043
Написать код для бэкенда,Work,High,4.7657314405076425
Изучить основы Python,Education,Medium,2.4898134888471315
Подготовка к экзамену,Education,High,4.347764268297594
Написать код для бэкенда,Work,High,4.590149304965945
Прочитать книгу по ИИ,Education,Medium,2.7980947233544313
Подготовить отчет по проекту,Work,High,3.3896640503106634
Купить продукты на неделю,Personal,Low,0.810799068450307
Встреча с клиентом,Work,High,1.3037371854391815
Встреча с клиентом,Work,High,1.0043429623004587
Встреча с клиентом,Work,High,1.8740036898607726
Сходить в спортзал,Health,Low,1.9699077593530276
Убраться в комнате,Personal,Low,1.8975843308999365
Подготовить отчет по проекту,Work,High,3.436590300342435
Купить продукты на неделю,Personal,Low,0.5850716532329908
Написать код для бэкенда,Work,High,4.737701250599025
Купить продукты на неделю,Personal,Low,1.12258039234852
Подготовка к экзамену,Education,High,4.431257484798601
Написать код для бэкенда,Work,High,4.9231899265664145
Написать код для бэкенда,Work,High,4.703465830701953
Купить продукты на неделю,Personal,Low,1.1762858786955301
Изучить основы Python,Education,Medium,1.5338384911111143
Прочитать книгу по ИИ,Education,Medium,2.6222165005740994
Прочитать книгу по ИИ,Education,Medium,2.0914740965143332
Написать код для бэкенда,Work,High,4.9845272437840915
Встреча с клиентом,Work,High,1.4564656113018954
Купить продукты на неделю,Personal,Low,0.719490745044794
Изучить основы Python,Education,Medium,2.1428899954198948
Убраться в комнате,Personal,Low,1.7877071493878023
Написать код для бэкенда,Work,High,5.1558264477235
Подготовка к экзамену,Education,High,3.66128447360247
Встреча с клиентом,Work,High,1.6693165307440934
Прочитать книгу по ИИ,Education,Medium,2.7862952887382293
Купить продукты на неделю,Personal,Low,0.704117409040246
Изучить основы Python,Education,Medium,2.2833476380078688
Встреча с клиентом,Work,High,1.6946752279151318
Подготовка к экзамену,Education,High,4.339583205852843
Встреча с клиентом,Work,High,1.1316006177982345
Убраться в комнате,Personal,Low,1.5104311328965807
Сходить в спортзал,Health,Low,1.050479287406747
Подготовить отчет по проекту,Work,High,3.0534705772085124
Написать код для бэкенда,Work,High,5.366684488524082
Подготовить отчет по проекту,Work,High,3.24200800267303
Убраться в комнате,Personal,Low,2.396112569197631
Написать код для бэкенда,Work,High,4.838147210834585
Записаться к врачу,Health,Medium,0.3033125598405627
Записаться к врачу,Health,Medium,0.4867779226583139
Прочитать книгу по ИИ,Education,Medium,2.030085214366802
Подготовить отчет по проекту,Work,High,3.8053286574013216
Сходить в спортзал,Health,Low,1.6802939982833547
Сходить в спортзал,Health,Low,1.9863460424943669
Подготовить отчет по проекту,Work,High,3.4331282337057853
Написать код для бэкенда,Work,High,5.465097959874665
Подготовка к экзамену,Education,High,4.23646708983507
Сходить в спортзал,Health,Low,1.2128084160815957
Записаться к врачу,Health,Medium,0.07491692099075686
Изучить основы Python,Education,Medium,2.2272111140165416
Записаться к врачу,Health,Medium,0.9160737468513035
Убраться в комнате,Personal,Low,1.8207046780177425
Убраться в комнате,Personal,Low,1.6055602977143653
Записаться к врачу,Health,Medium,0.5039158335643628
Написать код для бэкенда,Work,High,4.506403526732039
Сходить в спортзал,Health,Low,1.9410456437085042
Подготовка к экзамену,Education,High,3.7989100496693915
Встреча с клиентом,Work,High,1.5182917567373573
Изучить основы Python,Education,Medium,1.6514273191936268
Изучить основы Python,Education,Medium,2.182510785465616
Записаться к врачу,Health,Medium,0.37768392461685385
Изучить основы Python,Education,Medium,2.262479160090287
Подготовить отчет по проекту,Work,High,3.0490906268931166
Изучить основы Python,Education,Medium,1.7644632187349505
Сходить в спортзал,Health,Low,1.0109166094455806
Прочитать книгу по ИИ,Education,Medium,2.3232187392764336
Подготовка к экзамену,Education,High,4.039404842167207
Изучить основы Python,Education,Medium,1.9489803776704693
Сходить в спортзал,Health,Low,1.9667867594771875
Подготовка к экзамену,Education,High,4.030187097278271
Изучить основы Python,Education,Medium,1.7592045139485624
Изучить основы Python,Education,Medium,2.0943653306638534
Купить продукты на неделю,Personal,Low,1.379588794130814
Изучить основы Python,Education,Medium,2.330909502591966
Прочитать книгу по ИИ,Education,Medium,2.2503838247691466
Прочитать книгу по ИИ,Education,Medium,2.849244313055339
Написать код для бэкенда,Work,High,5.128861558158088
Изучить основы Python,Education,Medium,2.0795826421128476
Встреча с клиентом,Work,High,1.4995558913828186
Сходить в спортзал,Health,Low,1.5537239223880626
Сходить в спортзал,Health,Low,1.6258701154957529
Убраться в комнате,Personal,Low,1.8847679854861723
Встреча с клиентом,Work,High,1.0142825819522918
Сходить в спортзал,Health,Low,1.8496159778757422
Изучить основы Python,Education,Medium,1.7936601052610537
Подготовить отчет по проекту,Work,High,3.194563894796743
Убраться в комнате,Personal,Low,1.9372447913563744
Прочитать книгу по ИИ,Education,Medium,2.8136192612207083
Встреча с клиентом,Work,High,1.8795595067144548
Прочитать книгу по ИИ,Education,Medium,2.416084432813037
Подготовить отчет по проекту,Work,High,3.4642762478636446
Написать код для бэкенда,Work,High,4.768471428247791
Написать код для бэкенда,Work,High,5.417904398254575
Прочитать книгу по ИИ,Education,Medium,2.565404735167994
Подготовить отчет по проекту,Work,High,3.4023740799846007
Изучить основы Python,Education,Medium,2.40032539992353
Подготовка к экзамену,Education,High,3.57125273352676
Купить продукты на неделю,Personal,Low,0.9315942013468373
Подготовка к экзамену,Education,High,4.398988556367659
Убраться в комнате,Personal,Low,1.772222000423474
Подготовить отчет по проекту,Work,High,3.5258775200604893
Встреча с клиентом,Work,High,1.5826967252434176
Встреча с клиентом,Work,High,1.6746925261540717
Записаться к врачу,Health,Medium,0.7001031021567466
Сходить в спортзал,Health,Low,1.309313946237486
Изучить основы Python,Education,Medium,1.5516304582630662
Купить продукты на неделю,Personal,Low,0.8616628230302468
Подготовить отчет по проекту,Work,High,3.576614282446608
Встреча с клиентом,Work,High,1.1686744501100124
Изучить основы Python,Education,Medium,2.083658699899454
Подготовить отчет по проекту,Work,High,3.8451542728221892
Купить продукты на неделю,Personal,Low,1.0160446299731452
Убраться в комнате,Personal,Low,2.244410911811802
Встреча с клиентом,Work,High,1.6563843407341028
Купить продукты на неделю,Personal,Low,1.2635312122982179
Записаться к врачу,Health,Medium,0.5671348454107564
Изучить основы Python,Education,Medium,1.5598103985649945
Написать код для бэкенда,Work,High,4.76345688477633
Убраться в комнате,Personal,Low,2.1341482076232277
Сходить в спортзал,Health,Low,1.2742371873533274
Прочитать книгу по ИИ,Education,Medium,2.850475335603562
Подготовить отчет по проекту,Work,High,3.497768413751353
Убраться в комнате,Personal,Low,2.2540993624371106
Подготовка к экзамену,Education,High,4.049142220074165
Подготовить отчет по проекту,Work,High,3.499071586128268
Прочитать книгу по ИИ,Education,Medium,2.6627465208555834
Прочитать книгу по ИИ,Education,Medium,2.215709820071929
Купить продукты на неделю,Personal,Low,0.5083368696103073
Написать код для бэкенда,Work,High,5.48903545252459
Купить продукты на неделю,Personal,Low,0.9054017100290763
Подготовить отчет по проекту,Work,High,3.2982429407250913
Подготовить отчет по проекту,Work,High,3.4550315849774647
Изучить основы Python,Education,Medium,1.9231766446383252
Встреча с клиентом,Work,High,1.3796932482145987
Убраться в комнате,Personal,Low,2.078173813169707
Прочитать книгу по ИИ,Education,Medium,2.543776123096184
Прочитать книгу по ИИ,Education,Medium,2.0049119842448597
Купить продукты на неделю,Personal,Low,0.6092121277692514
Написать код для бэкенда,Work,High,4.662726091661782
Сходить в спортзал,Health,Low,1.2696754130564778
Написать код для бэкенда,Work,High,5.360761258245946
Подготовка к экзамену,Education,High,4.398359906548674
Убраться в комнате,Personal,Low,2.1758096421673967
Убраться в комнате,Personal,Low,2.48802605136051
Записаться к врачу,Health,Medium,0.07093019044749305
Изучить основы Python,Education,Medium,2.3655275268370533
Подготовить отчет по проекту,Work,High,3.58863240682175
Подготовить отчет по проекту,Work,High,3.9084075668838207
Купить продукты на неделю,Personal,Low,0.6803509865089907
Прочитать книгу по ИИ,Education,Medium,2.4030351387919016
Записаться к врачу,Health,Medium,0.4737352654131397
Написать код для бэкенда,Work,High,4.526602896949117
Подготовить отчет по проекту,Work,High,3.2133921352985446
Изучить основы Python,Education,Medium,2.0114044198340193
Написать код для бэкенда,Work,High,5.428630647234158
Подготовка к экзамену,Education,High,4.15658391836811
Встреча с клиентом,Work,High,1.2875260246838085
Изучить основы Python,Education,Medium,1.9135051804138832
Сходить в спортзал,Health,Low,1.138366017039385
Купить продукты на неделю,Personal,Low,1.3293478629290916
Изучить основы Python,Education,Medium,2.248707122068549
Купить продукты на неделю,Personal,Low,1.4005565490304837
Сходить в спортзал,Health,Low,1.4528462857775648
Купить продукты на неделю,Personal,Low,1.348159069721478
Изучить основы Python,Education,Medium,1.6845057822338307
Записаться к врачу,Health,Medium,0.46779891141455276
Подготовка к экзамену,Education,High,4.059302080537893
Написать код для бэкенда,Work,High,4.710380179190102
Подготовить отчет по проекту,Work,High,3.0084487311946546
Купить продукты на неделю,Personal,Low,1.3896749063120097
Записаться к врачу,Health,Medium,0.8590224556346929
Написать код для бэкенда,Work,High,5.150905059453928
Подготовка к экзамену,Education,High,4.252289883179468
Убраться в комнате,Personal,Low,2.3619428834787284
Подготовить отчет по проекту,Work,High,3.0098308618980583
Купить продукты на неделю,Personal,Low,0.9339257270089478
Изучить основы Python,Education,Medium,2.486945152077088
Подготовка к экзамену,Education,High,4.462383072129489
Записаться к врачу,Health,Medium,0.43643079156170905
Написать код для бэкенда,Work,High,4.578032116283519
Записаться к врачу,Health,Medium,0.7001792831199302
Купить продукты на неделю,Personal,Low,1.0076461927640525
Купить продукты на неделю,Personal,Low,0.8591253378250011
Встреча с клиентом,Work,High,1.3663027311946925
Написать код для бэкенда,Work,High,4.6426096230418015
Купить продукты на неделю,Personal,Low,0.651168892151212
Подготовить отчет по проекту,Work,High,3.339451706802721
Купить продукты на неделю,Personal,Low,1.2436078390138487
Изучить основы Python,Education,Medium,1.6123618166072529
Купить продукты на неделю,Personal,Low,0.7325262119731708
Изучить основы Python,Education,Medium,2.286301081187503
Подготовить отчет по проекту,Work,High,3.681249938843257
Убраться в комнате,Personal,Low,1.5327815238111837
Записаться к врачу,Health,Medium,0.13231237925627215
Прочитать книгу по ИИ,Education,Medium,2.5591966523921226
Прочитать книгу по ИИ,Education,Medium,2.025752312386592
Записаться к врачу,Health,Medium,0.8620218184057727
Купить продукты на неделю,Personal,Low,1.3023942672325615
Записаться к врачу,Health,Medium,0.7052439863153895
Встреча с клиентом,Work,High,1.9562445388152236
Подготовка к экзамену,Education,High,4.182210028608251
Подготовка к экзамену,Education,High,4.329391889920025
Написать код для бэкенда,Work,High,4.833611250939576
Купить продукты на неделю,Personal,Low,0.892230865395966
Встреча с клиентом,Work,High,1.1384986636108045
Изучить основы Python,Education,Medium,2.2113580069529855
Прочитать книгу по ИИ,Education,Medium,2.8982412749564976
Убраться в комнате,Personal,Low,1.743984237138718
Подготовка к экзамену,Education,High,4.338026213192404
Встреча с клиентом,Work,High,1.3029147397872018
Написать код для бэкенда,Work,High,5.186041431733887
Прочитать книгу по ИИ,Education,Medium,2.536475764504326
Сходить в спортзал,Health,Low,1.452402338522877
Купить продукты на неделю,Personal,Low,0.6298563161626544
Купить продукты на неделю,Personal,Low,1.4447285714892013
Подготовить отчет по проекту,Work,High,3.884124922453927
Купить продукты на неделю,Personal,Low,0.8461658501679109
Убраться в комнате,Personal,Low,2.2427439079697287
Подготовить отчет по проекту,Work,High,3.537298774905277
Изучить основы Python,Education,Medium,2.1389457720645786
Изучить основы Python,Education,Medium,1.9077398752759267
Купить продукты на неделю,Personal,Low,0.5526364952186591
Встреча с клиентом,Work,High,1.2094856193288086
Записаться к врачу,Health,Medium,0.4997931478505231
Убраться в комнате,Personal,Low,1.6178402439862765
Изучить основы Python,Education,Medium,1.621425734392523
Подготовка к экзамену,Education,High,4.264275210056433
Встреча с клиентом,Work,High,1.1826030350000531
Изучить основы Python,Education,Medium,2.448538591980698
Купить продукты на неделю,Personal,Low,1.2543570540564177
Написать код для бэкенда,Work,High,5.2133031888725325
Написать код для бэкенда,Work,High,5.480218944929874
Написать код для бэкенда,Work,High,4.921576057225678
Изучить основы Python,Education,Medium,2.413358286979242
Сходить в спортзал,Health,Low,1.126966017518889
Встреча с клиентом,Work,High,1.1629075061412486
Написать код для бэкенда,Work,High,4.661851096591284
Подготовить отчет по проекту,Work,High,3.196029272883405
Записаться к врачу,Health,Medium,0.43725833595172714
Подготовка к экзамену,Education,High,4.249408930057065
Записаться к врачу,Health,Medium,0.33719133609098717
Убраться в комнате,Personal,Low,1.5980989574067161
Прочитать книгу по ИИ,Education,Medium,2.1161409922335954
Изучить основы Python,Education,Medium,2.207326269866932
Убраться в комнате,Personal,Low,2.215238261005902
Подготовить отчет по проекту,Work,High,3.006040353541821
Сходить в спортзал,Health,Low,1.7705157186372602
Подготовить отчет по проекту,Work,High,3.4780123526868962
Записаться к врачу,Health,Medium,0.3410777142498821
Сходить в спортзал,Health,Low,1.5752314843367876
Написать код для бэкенда,Work,High,5.094951341719593
Сходить в спортзал,Health,Low,1.3165763480386286
Подготовить отчет по проекту,Work,High,3.317537051195707
Подготовка к экзамену,Education,High,3.5190925747784556
Встреча с клиентом,Work,High,1.863787827710986
Подготовка к экзамену,Education,High,3.8745395710035253
Изучить основы Python,Education,Medium,1.8666895925883922
Написать код для бэкенда,Work,High,5.269405590122224
Убраться в комнате,Personal,Low,1.961260159536655
Прочитать книгу по ИИ,Education,Medium,2.8869874872408214
Подготовка к экзамену,Education,High,4.458511279492789
Купить продукты на неделю,Personal,Low,0.9309398576608613
Убраться в комнате,Personal,Low,2.335981722509557
Встреча с клиентом,Work,High,1.5108404308970562
Изучить основы Python,Education,Medium,1.6646085615728683
Изучить основы Python,Education,Medium,1.5865113623917275
Убраться в комнате,Personal,Low,1.7354176536099817
Подготовка к экзамену,Education,High,3.840522909973818
Изучить основы Python,Education,Medium,1.5345354563104365
Написать код для бэкенда,Work,High,5.373282200139711
Прочитать книгу по ИИ,Education,Medium,2.6206907536653112
Подготовить отчет по проекту,Work,High,3.023480013631573
Купить продукты на неделю,Personal,Low,0.5576916570606327
Написать код для бэкенда,Work,High,4.9187303288232105
Подготовить отчет по проекту,Work,High,3.04824800037211
Подготовить отчет по проекту,Work,High,3.6117506552475493
Прочитать книгу по ИИ,Education,Medium,2.991878949288606
Подготовить отчет по проекту,Work,High,3.612186604201131
Изучить основы Python,Education,Medium,1.7166334840083994
Убраться в комнате,Personal,Low,1.7165100707238934
Подготовить отчет по проекту,Work,High,3.9740651594066567
Подготовить отчет по проекту,Work,High,3.945193392403983
Изучить основы Python,Education,Medium,1.700942758711923
Сходить в спортзал,Health,Low,1.7971746839187164
Подготовка к экзамену,Education,High,4.208968943743181
Встреча с клиентом,Work,High,1.7950744118370667
Купить продукты на неделю,Personal,Low,0.9609173939600155
Записаться к врачу,Health,Medium,0.9280070254776686
Подготовка к экзамену,Education,High,4.489891909858303
Написать код для бэкенда,Work,High,5.174293415287199
Встреча с клиентом,Work,High,1.8999101036154806
